TAGS
121	mark	0,0,1,0,0,0,0,0,
122	marquee	0,0,58,0,0,0,0,0,
123	math	0,0,0,1,0,0,0,0,
124	menu	0,0,2,0,0,0,0,0,
125	meta	0,0,2,0,0,0,0,0,
126	meter	0,0,1,0,0,0,0,0,
127	mfenced	0,0,0,1,0,0,0,0,
128	mglyph	0,0,0,1,0,0,0,0,
129	mi	0,0,0,58,0,0,0,0,
130	mn	0,0,0,58,0,0,0,0,
131	mo	0,0,0,58,0,0,0,0,
132	ms	0,0,0,58,0,0,0,0,
133	mtext	0,0,0,58,0,0,0,0,
134	multicol	0,0,1,0,0,0,0,0,
135	nav	0,0,2,0,0,0,0,0,
136	nextid	0,0,1,0,0,0,0,0,
137	nobr	0,0,4,0,0,0,0,0,
138	noembed	0,0,2,0,0,0,0,0,
139	noframes	0,0,2,0,0,0,0,0,
140	noscript	0,0,2,0,0,0,0,0,
141	object	0,0,58,0,0,0,0,0,
142	ol	0,0,18,0,0,0,0,0,
143	optgroup	0,0,1,0,0,0,0,0,
144	option	0,0,1,0,0,0,0,0,
145	output	0,0,1,0,0,0,0,0,
146	p	0,0,2,0,0,0,0,0,
147	param	0,0,2,0,0,0,0,0,
148	path	0,0,0,0,1,0,0,0,
149	picture	0,0,1,0,0,0,0,0,
150	plaintext	0,0,2,0,0,0,0,0,
151	pre	0,0,2,0,0,0,0,0,
152	progress	0,0,1,0,0,0,0,0,
153	q	0,0,1,0,0,0,0,0,
154	radialgradient	0,0,0,0,1,0,0,0,
155	rb	0,0,1,0,0,0,0,0,
156	rp	0,0,1,0,0,0,0,0,
157	rt	0,0,1,0,0,0,0,0,
158	rtc	0,0,1,0,0,0,0,0,
159	ruby	0,0,1,0,0,0,0,0,
160	s	0,0,4,0,0,0,0,0,
161	samp	0,0,1,0,0,0,0,0,
162	script	0,0,2,0,0,0,0,0,
163	search	0,0,2,0,0,0,0,0,
164	section	0,0,2,0,0,0,0,0,
165	select	0,0,58,0,0,0,0,0,
166	selectedcontent	0,0,1,0,0,0,0,0,
167	slot	0,0,1,0,0,0,0,0,
168	small	0,0,4,0,0,0,0,0,
169	source	0,0,2,0,0,0,0,0,
170	spacer	0,0,1,0,0,0,0,0,
171	span	0,0,1,0,0,0,0,0,
172	strike	0,0,4,0,0,0,0,0,
173	strong	0,0,4,0,0,0,0,0,
174	style	0,0,2,0,0,0,0,0,
175	sub	0,0,1,0,0,0,0,0,
176	summary	0,0,2,0,0,0,0,0,
177	sup	0,0,1,0,0,0,0,0,
178	svg	0,0,0,0,1,0,0,0,
179	table	0,0,122,0,0,0,0,0,
180	tbody	0,0,2,0,0,0,0,0,
181	td	0,0,58,0,0,0,0,0,
182	template	0,0,122,0,0,0,0,0,
183	textarea	0,0,2,0,0,0,0,0,
184	textpath	0,0,0,0,1,0,0,0,
185	tfoot	0,0,2,0,0,0,0,0,
186	th	0,0,58,0,0,0,0,0,
187	thead	0,0,2,0,0,0,0,0,
188	time	0,0,1,0,0,0,0,0,
189	title	0,0,2,0,58,0,0,0,
190	tr	0,0,2,0,0,0,0,0,
191	track	0,0,2,0,0,0,0,0,
192	tt	0,0,4,0,0,0,0,0,
193	u	0,0,4,0,0,0,0,0,
194	ul	0,0,18,0,0,0,0,0,
195	var	0,0,1,0,0,0,0,0,
196	video	0,0,1,0,0,0,0,0,
197	wbr	0,0,2,0,0,0,0,0,
198	xmp	0,0,2,0,0,0,0,0,
ATTRS
0	#undef
1	accept
2	accept-charset
3	active
4	align
5	alink
6	alt
7	axis
8	bgcolor
9	charset
10	checked
11	class
12	clear
13	codetype
14	color
15	compact
16	content
17	declare
18	defer
19	dir
20	direction
21	disabled
22	enctype
23	face
24	focus
25	for
26	frame
27	height
28	hover
29	href
30	hreflang
31	html
32	http-equiv
33	id
34	is
35	lang
36	language
37	link
38	maxlength
39	media
40	method
41	multiple
42	nohref
43	noresize
44	noshade
45	nowrap
46	placeholder
47	pool
48	public
49	readonly
50	rel
51	required
52	rev
53	rules
54	scheme
55	scope
56	scrolling
57	selected
58	shape
59	size
60	slot
61	src
62	style
63	system
64	target
65	text
66	title
67	type
68	valign
69	valuetype
70	vlink
71	width
72	xmlns
